id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
20006,822,FLY CREEK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20007,822,FREDS PASS,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20008,822,GALIWINKU,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20009,822,GLYDE POINT,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
295,822,GOULBOURN ISLAND,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20010,822,GOULBURN ISLAND,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20011,822,GUNBALANYA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
296,822,GUNN POINT,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
297,822,HAYES CREEK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20012,822,HIDDEN VALLEY,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20013,822,HOTHAM,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20014,822,HUGHES,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20015,822,KAKADU,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20016,822,KOOLPINYAH,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20017,822,LAKE BENNETT,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
299,822,LAMBELLS LAGOON,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20018,822,LITCHFIELD PARK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
300,822,LIVINGSTONE,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20019,822,LLOYD CREEK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20020,822,MANDORAH,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
301,822,MANINGRIDA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
24058,822,MAPURU,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20021,822,MARANUNGA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20022,822,MARGARET RIVER,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
24059,822,MARRAKAI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
302,822,MCMINNS LAGOON,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
24133,822,MICKET CREEK,NT,130.952300000000008,-12.365100000000000,5,7323.987857616963083
20023,822,MICKETT CREEK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
303,822,MIDDLE POINT,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
24060,822,MILIKAPITI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20024,822,MILINGIMBI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
305,822,MILLWOOD,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20025,822,MILYAKBURRA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20026,822,MINJILANG,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20027,822,MOUNT BUNDEY,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20028,822,MURRUMUJUK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20029,822,NAUIYU,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20030,822,NEMARLUK,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20031,822,NGANMARRIYANGA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
307,822,NGUIU,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20032,822,NUMBULWAR,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20033,822,NUMBURINDI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
308,822,OENPELLI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20034,822,PEPPIMENARTI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20035,822,PIRLANGIMPI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
309,822,POINT STEPHENS,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20036,822,POINT STUART,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
310,822,PULARUMPI,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
311,822,PULUMPA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20037,822,RAKULA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20038,822,RAMINGINING,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20039,822,ROBIN FALLS,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
20040,822,RUM JUNGLE,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
